GeneID	Length	logFC	logCPM	LR	PValue	FDR
ENSG00000108342	2220	10.1469480575375	9.46840145158071	235.613009172067	3.55878262526668e-53	4.67659624786295e-49
ENSG00000114270	11071	7.50471111359145	6.75960082042945	215.506873114733	8.6396118602159e-49	5.67665697275486e-45
ENSG00000125538	3096	7.91881804300095	6.75055867193487	150.158110714559	1.60103420385961e-34	7.01306349097302e-31
ENSG00000187957	3935	6.22507932445576	5.89678948030269	148.881503913937	3.043983328108e-34	1.00002462286668e-30
ENSG00000227234	469	8.50047414774004	7.28526124068193	136.482404253341	1.56494268379949e-31	3.42748530130151e-28
ENSG00000180730	2860	6.09621564298764	5.22761912346585	127.005903823609	1.85221696066943e-29	3.04249788501963e-26
ENSG00000134955	6371	5.28324513021515	5.92473845976627	121.561861053596	2.87883445755415e-28	3.78307636067191e-25
ENSG00000163739	1296	5.84341926754421	8.44093258837497	97.9194355937987	4.35755649631611e-23	4.77188749317417e-20
ENSG00000163734	2219	6.21264632233325	6.48436418218472	94.9476269754117	1.95489455798773e-22	1.97609764511667e-19
ENSG00000158825	963	5.40480555628364	4.54539728158861	93.9889823884673	3.17285034886755e-22	2.97817331674775e-19
ENSG00000081041	1500	4.73398149054933	6.22997830135454	79.2305280242323	5.52694171210541e-19	3.30134277448987e-16
ENSG00000148926	2718	4.24988891779109	8.20426676137756	76.9914431557595	1.71700263493581e-18	9.81005722856153e-16
ENSG00000138623	4309	4.74892677142171	4.4908951134867	73.9583358364049	7.97833320001145e-18	4.36846985755627e-15
ENSG00000166250	5097	4.09495923021458	5.04634381368679	72.8614024614623	1.39081736715693e-17	7.31069240872366e-15
ENSG00000183691	1892	4.29220301491953	5.24265471596812	68.8015680546374	1.08886082307523e-16	5.11025717001127e-14
ENSG00000085117	4054	4.0258789827859	7.5048967690182	62.5831117653162	2.55434464494825e-15	9.32406749424026e-13
ENSG00000169429	2274	4.00248746690514	7.56096614327453	62.1074216280734	3.25223405658577e-15	1.12467388783141e-12
ENSG00000028137	3766	5.52180838825618	5.44778331693394	56.3680330394366	6.00995505542789e-14	1.92626388739946e-11
ENSG00000103381	6484	4.02381187373372	4.25748842837296	54.5308269371198	1.53028392396063e-13	4.67661884762015e-11
ENSG00000100985	2336	4.37431625330114	4.17105086524122	53.5515276684427	2.51898463493267e-13	7.3559949083667e-11
ENSG00000113645	10076	3.23922590775874	5.35133261262435	52.2674880651604	4.84326965436285e-13	1.35711201378502e-10
ENSG00000163874	3117	3.17627963665328	5.54606838835624	51.5628115447448	6.93427067150217e-13	1.87848626154545e-10
ENSG00000147100	4161	3.99222156586997	3.74287001695129	47.5286254299151	5.42065900095387e-12	1.13068063383389e-09
ENSG00000185950	8138	3.36574764367991	5.86643055571871	47.452293281017	5.63589735020122e-12	1.15720823560928e-09
ENSG00000019549	2282	2.99764571756106	5.79147994674791	46.9616629069858	7.23889301060268e-12	1.37864192829463e-09
ENSG00000117407	2658	5.30036606027623	4.22230907388535	45.9407158928309	1.21886191147519e-11	2.28815205409936e-09
ENSG00000145536	5863	4.1330782520238	2.80166315809483	43.6952883760511	3.836944119296e-11	6.72283768955584e-09
ENSG00000163661	1940	3.65258031220463	6.35863123102391	41.5266546050292	1.16274727295369e-10	1.93413441947904e-08
ENSG00000258667	533	3.63935422683112	3.04430697056288	41.4921647090191	1.18344299303866e-10	1.94395304644013e-08
ENSG00000123689	866	4.87527477011086	9.82461937449678	40.2763180092609	2.20465293138517e-10	3.57670915695463e-08
ENSG00000148908	1252	2.90882012830711	5.85105632507969	39.7453664247902	2.89326208867028e-10	4.58076591653206e-08
ENSG00000227706	1605	3.45488027078027	5.78348403759031	39.1368790488056	3.95109670896198e-10	6.18111450624635e-08
ENSG00000248323	2904	3.38765818835235	3.42915468880507	38.4626550333368	5.58114995338578e-10	8.62845782793442e-08
ENSG00000246228	2342	3.25055758833322	3.32445592780682	36.9635243783114	1.20359928659373e-09	1.71918458968785e-07
ENSG00000136167	5061	3.42252337876537	5.48063202133566	36.8327878525375	1.28707373501834e-09	1.81864902708343e-07
ENSG00000077984	930	3.83584466496699	3.27185525691611	35.798047189591	2.18867164111332e-09	2.93483000366022e-07
